::ffff:192.168.0.105 - - [18/Apr/2018:02:06:06 +0000] "GET /api/files/get/registrar HTTP/1.1" 304 -
::1 - - [18/Apr/2018:13:00:20 +0000] "POST /api/user/signin HTTP/1.1" 201 260
::1 - - [18/Apr/2018:13:00:33 +0000] "POST /api/user/signin HTTP/1.1" 400 35
::1 - - [18/Apr/2018:13:13:40 +0000] "POST /api/user/signup HTTP/1.1" 200 26
::1 - - [18/Apr/2018:13:14:05 +0000] "POST /api/user/signin HTTP/1.1" 201 288
::1 - - [18/Apr/2018:13:21:58 +0000] "POST /api/user/signup HTTP/1.1" 400 63
::1 - - [18/Apr/2018:13:24:45 +0000] "POST /api/user/signup HTTP/1.1" 400 63
::1 - - [18/Apr/2018:13:47:27 +0000] "POST /api/user/signup HTTP/1.1" 500 2367
::1 - - [18/Apr/2018:13:48:03 +0000] "POST /api/user/signup HTTP/1.1" 500 2347
::1 - - [18/Apr/2018:13:50:52 +0000] "POST /api/user/signup HTTP/1.1" 200 18
::1 - - [18/Apr/2018:13:51:08 +0000] "POST /api/user/signup HTTP/1.1" 200 207
::1 - - [18/Apr/2018:13:52:11 +0000] "POST /api/user/signup HTTP/1.1" 200 18
::1 - - [18/Apr/2018:14:13:01 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:13:41 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:17:21 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:17:52 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:18:44 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:19:02 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:20:08 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:20:20 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:21:47 +0000] "POST /api/user/signup HTTP/1.1" 200 24
::1 - - [18/Apr/2018:14:35:35 +0000] "POST /api/user/signup HTTP/1.1" 200 403
::1 - - [18/Apr/2018:14:35:45 +0000] "POST /api/user/signup HTTP/1.1" 200 214
::1 - - [18/Apr/2018:14:36:11 +0000] "POST /api/user/signup HTTP/1.1" 200 403
::1 - - [18/Apr/2018:14:51:24 +0000] "POST /api/user/signup HTTP/1.1" 200 214
::1 - - [18/Apr/2018:14:53:24 +0000] "POST /api/user/signup HTTP/1.1" 200 214
::1 - - [18/Apr/2018:14:55:15 +0000] "POST /api/user/signup HTTP/1.1" 200 214
::1 - - [18/Apr/2018:14:56:06 +0000] "POST /api/user/signup HTTP/1.1" 200 214
::1 - - [18/Apr/2018:14:56:35 +0000] "POST /api/user/signup HTTP/1.1" 400 37
::1 - - [18/Apr/2018:14:56:49 +0000] "POST /api/user/signup HTTP/1.1" 400 37
::1 - - [18/Apr/2018:15:07:57 +0000] "POST /api/user/signup HTTP/1.1" 400 37
